Parameter,Value,Is_Baseline,Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD,Calmar,Win_Rate
rf_rate,5% fixed,False,MKT,0.2340326241166235,0.27049253980319304,0.6803611820515395,1.093685167359141,-0.3250979637534103,0.7198833896546314,0.6132075471698113
rf_rate,5% fixed,False,TAN,0.19294921298116674,0.27795002194048285,0.5142982611880359,0.7964490229792748,-0.5149231023046993,0.37471461683805257,0.6226415094339622
rf_rate,5% fixed,False,MV,0.1624082286037618,0.2539933888926357,0.44256360015448026,0.7096542625676299,-0.38444487380269055,0.4224486777449266,0.5754716981132075
rf_rate,5% fixed,False,BL,0.26789567577647677,0.2963578933725887,0.7352450555535998,1.2035650170495023,-0.3700044945022889,0.7240335719079205,0.6320754716981132
rf_rate,5% fixed,False,BL_KIO,0.3088927407676145,0.28498657950534195,0.908438359507949,1.5690773395338882,-0.30649340316785223,1.0078283498925695,0.6132075471698113
rf_rate,5% fixed,False,EW,0.26615682077001446,0.27382060545998754,0.7894103528362869,1.3554774748093477,-0.3654729095456211,0.7282532133528511,0.6226415094339622
rf_rate,5% fixed,False,RP,0.2566576158488354,0.2714360253653761,0.7613492555774666,1.293268561188315,-0.35715679297926856,0.7186132838406725,0.6226415094339622
rf_rate,6% fixed,False,MKT,0.2340326241166235,0.27049253980319304,0.6433915857466806,1.0259562721754538,-0.3250979637534103,0.7198833896546314,0.6132075471698113
rf_rate,6% fixed,False,TAN,0.19464573182917033,0.2776304289917019,0.48498189596211283,0.7459612509692563,-0.5130949882295184,0.3793561354025565,0.6320754716981132
rf_rate,6% fixed,False,MV,0.1624082286037618,0.2539933888926357,0.4031924966639596,0.6412425110381286,-0.38444487380269055,0.4224486777449266,0.5754716981132075
rf_rate,6% fixed,False,BL,0.27344156239854245,0.29756122246271155,0.717303016273532,1.1665655854541614,-0.37616110360355587,0.726926733729302,0.660377358490566
rf_rate,6% fixed,False,BL_KIO,0.3102002656461298,0.2869574587808399,0.8719071694777485,1.498218447921143,-0.3069938464227669,1.010444571644434,0.6132075471698113
rf_rate,6% fixed,False,EW,0.26615682077001446,0.27382060545998754,0.7528900917580487,1.2817138507697727,-0.3654729095456211,0.7282532133528511,0.6226415094339622
rf_rate,6% fixed,False,RP,0.2566576158488354,0.2714360253653761,0.7245081620397198,1.220277661375293,-0.35715679297926856,0.7186132838406725,0.6226415094339622
rf_rate,VN10Y (dynamic),True,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
rf_rate,VN10Y (dynamic),True,TAN,0.19198996589055528,0.2781007184932304,0.5577399844892268,0.8726621742875115,-0.515447692628095,0.37247225787676497,0.6226415094339622
rf_rate,VN10Y (dynamic),True,MV,0.1624082286037618,0.2539933888926357,0.4942103165729414,0.8013081748613347,-0.38444487380269055,0.4224486777449266,0.5754716981132075
rf_rate,VN10Y (dynamic),True,BL,0.2722815155047065,0.29548000456128776,0.7966679179612046,1.3132346277075597,-0.36732294826377837,0.7412592019956736,0.6132075471698113
rf_rate,VN10Y (dynamic),True,BL_KIO,0.3011883613124198,0.2812834671253247,0.9396438707965763,1.6281447307321586,-0.30659365956647877,0.9823698302773056,0.6132075471698113
rf_rate,VN10Y (dynamic),True,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
rf_rate,VN10Y (dynamic),True,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
